time_s0,RF_swing_s0,time_s1,RF_swing_s1,time_s2,RF_swing_s2,time_s3,RF_swing_s3,time_s4,RF_swing_s4,time_s5,RF_swing_s5,time_s6,RF_swing_s6,time_s7,RF_swing_s7,time_s8,RF_swing_s8,time_s9,RF_swing_s9,time_s10,RF_swing_s10,time_s11,RF_swing_s11,time_s12,RF_swing_s12,time_s13,RF_swing_s13,time_s14,RF_swing_s14,time_s15,RF_swing_s15
21.7667,0.4667,23.0767,0.4167,22.6533,0.3833,21.61,0.38,21.93,0.3833,22.3867,0.3667,22.36,0.4267,22.5,0.32,21.8933,0.3767,23.5167,0.5467,22.2867,0.36,21.6633,0.3733,22.4867,0.3867,21.7033,0.3833,21.8733,0.3867,22.06,0.35
22.93,0.4533,24.13,0.37,23.7167,0.3867,22.6433,0.37,23.0167,0.3967,23.5033,0.4133,23.46,0.39,23.53,0.3133,23.0233,0.4333,25.0233,0.5267,23.3567,0.3467,22.6633,0.37,23.5467,0.3933,22.7233,0.38,22.95,0.3933,23.0467,0.3533
24.12,0.47,25.2033,0.3833,24.8233,0.4,23.72,0.37,24.0633,0.39,24.6033,0.3967,24.5733,0.39,24.5833,0.3167,24.14,0.4133,26.5,0.5567,24.48,0.3467,23.68,0.3567,24.57,0.3733,23.77,0.3833,24.0133,0.4,24.0433,0.37
25.3233,0.4667,26.3267,0.4167,25.9267,0.3833,24.7533,0.3833,25.1133,0.3533,25.7,0.4033,25.7433,0.4433,25.63,0.3367,25.2367,0.39,27.99,0.56,25.59,0.3367,24.6867,0.3567,25.6233,0.3967,24.81,0.3933,25.1,0.4033,25.0233,0.35
26.4833,0.4467,27.41,0.4267,27.06,0.3967,25.82,0.37,26.13,0.3833,26.8133,0.41,26.91,0.44,26.6767,0.3167,26.3467,0.43,29.4833,0.56,26.6933,0.3433,25.71,0.3767,26.6833,0.4067,25.8367,0.3967,26.1633,0.4,26.0067,0.3667
27.6267,0.4567,28.6167,0.42,28.1633,0.3833,26.8833,0.36,27.15,0.3333,27.91,0.36,28.0133,0.42,27.7033,0.3233,27.4567,0.42,30.93,0.5333,27.76,0.3267,26.7067,0.3567,27.74,0.3967,26.86,0.3833,27.21,0.3667,26.9867,0.3533
28.7933,0.4467,29.6933,0.4067,29.2567,0.3767,27.9567,0.3733,28.2067,0.3733,29.0467,0.4067,29.11,0.3967,28.73,0.3267,28.61,0.4033,32.4367,0.5467,28.8267,0.3333,27.73,0.38,28.7867,0.4067,27.8733,0.3867,28.26,0.39,27.9833,0.35
29.9433,0.4667,30.78,0.3867,30.35,0.3867,29.05,0.3767,29.27,0.39,30.18,0.4133,30.2133,0.3967,29.7433,0.3333,29.78,0.4267,33.9433,0.5567,29.9,0.3433,28.7467,0.36,29.8367,0.3967,28.92,0.3967,29.31,0.3933,28.9833,0.3667
31.08,0.44,31.8433,0.3867,31.46,0.4,30.0767,0.3767,30.3067,0.3933,31.2667,0.37,31.34,0.41,30.78,0.3333,30.93,0.44,35.37,0.5233,30.9967,0.3367,29.7933,0.37,30.9033,0.3933,29.9533,0.3933,30.34,0.38,29.9667,0.3567
32.2067,0.4367,32.9233,0.37,32.5633,0.3967,31.1233,0.3667,31.3533,0.3367,32.3567,0.3967,32.47,0.4467,31.81,0.3167,32.0267,0.41,36.7633,0.5067,32.0867,0.35,30.8433,0.38,31.95,0.4067,30.9833,0.39,31.3433,0.3733,30.96,0.3667
33.35,0.4433,34.0333,0.43,33.6567,0.3833,32.1833,0.39,32.41,0.38,33.44,0.41,33.57,0.42,32.8567,0.3367,33.1433,0.4133,38.1733,0.5167,33.1633,0.35,31.8433,0.37,33.0233,0.41,32.01,0.3967,32.3733,0.37,31.9167,0.3567
34.5033,0.4567,35.1267,0.3833,34.74,0.3867,33.2333,0.3433,33.4367,0.34,34.5233,0.3867,34.6367,0.4333,33.88,0.33,34.2633,0.4133,39.59,0.53,34.2533,0.35,32.8633,0.3667,34.0767,0.3933,33.04,0.3967,33.3933,0.37,32.9233,0.3767
35.6367,0.4533,36.2133,0.4133,35.8433,0.39,34.32,0.3467,34.5,0.3567,35.6033,0.39,35.7233,0.4133,34.9067,0.3267,35.4233,0.4233,40.9833,0.5333,35.3267,0.34,33.8667,0.35,35.1433,0.3967,34.0767,0.39,34.4467,0.3967,33.94,0.3633
36.7933,0.45,37.3333,0.4,36.9,0.3467,35.4267,0.37,35.49,0.3367,36.65,0.3867,36.8367,0.4433,35.93,0.31,36.53,0.43,42.3833,0.5067,36.4233,0.34,34.8767,0.35,36.2033,0.3867,35.1033,0.38,35.4833,0.3833,34.9833,0.36
37.9967,0.4767,38.4467,0.4133,37.97,0.38,36.4133,0.36,36.5333,0.38,37.7033,0.3633,37.9167,0.3967,36.95,0.3333,37.64,0.4133,43.8133,0.52,37.5167,0.3567,35.8733,0.3767,37.23,0.3733,36.14,0.39,36.5233,0.3833,35.9867,0.37
39.2067,0.4533,39.55,0.4233,39.04,0.38,37.4,0.34,37.5567,0.3467,38.7533,0.3867,39.0133,0.4333,37.98,0.3267,38.76,0.4267,45.2633,0.5467,38.6,0.34,36.8933,0.3633,38.27,0.39,37.16,0.3833,37.55,0.3833,37.0,0.3767
40.36,0.4433,40.6567,0.4067,40.14,0.39,38.4267,0.37,38.61,0.3733,39.84,0.3633,40.0867,0.4,39.0167,0.3433,39.8767,0.42,46.7067,0.51,39.6733,0.34,37.8967,0.37,39.3233,0.3933,38.1833,0.38,38.58,0.3767,37.98,0.37
