time_s0,RF_swing_s0,time_s1,RF_swing_s1,time_s2,RF_swing_s2,time_s3,RF_swing_s3,time_s4,RF_swing_s4,time_s5,RF_swing_s5,time_s6,RF_swing_s6,time_s7,RF_swing_s7,time_s8,RF_swing_s8,time_s9,RF_swing_s9,time_s10,RF_swing_s10,time_s11,RF_swing_s11,time_s12,RF_swing_s12,time_s13,RF_swing_s13,time_s14,RF_swing_s14
22.6367,0.3233,22.55,0.34,21.9967,0.2867,22.37,0.3533,21.9267,0.2733,21.77,0.33,22.2933,0.38,22.18,0.3533,22.94,0.5167,22.4633,0.4833,22.32,0.3733,21.6433,0.3833,22.6633,0.73,22.5267,0.39,22.9767,0.38
23.7767,0.3233,23.7467,0.36,22.9667,0.25,23.5167,0.37,22.9133,0.3467,22.8767,0.35,23.3733,0.3333,23.31,0.3467,24.3,0.4967,23.7767,0.4567,23.2767,0.3667,22.6933,0.3733,24.1267,0.6733,23.6433,0.3867,24.36,0.59
24.8633,0.3533,24.9433,0.34,24.0033,0.3367,24.6933,0.3467,23.8767,0.36,24.0833,0.38,24.4367,0.35,24.3867,0.4,25.6767,0.49,25.0333,0.45,24.2633,0.3667,23.76,0.3867,25.6033,0.72,24.7167,0.3667,25.6433,0.42
25.9467,0.3267,26.1167,0.3433,24.9467,0.2667,25.8767,0.3733,24.8,0.2933,25.1667,0.3133,25.4867,0.35,25.4767,0.3933,27.2167,0.62,26.31,0.4633,25.23,0.3633,24.79,0.4067,27.0567,0.72,25.84,0.3433,27.05,0.4633
26.9767,0.3433,27.26,0.3533,25.95,0.2533,26.9767,0.34,25.7733,0.29,26.3433,0.3633,26.5467,0.3,26.58,0.3833,28.6233,0.54,27.58,0.4433,26.2233,0.38,25.85,0.3967,28.4767,2.5067,26.9733,0.3933,28.36,0.3967
28.1067,0.3733,28.3667,0.3467,26.8933,0.26,28.2133,0.3567,26.7733,0.3333,27.41,0.33,27.62,0.3867,27.6567,0.39,29.9467,0.4967,28.8467,0.45,27.1767,0.36,27.0467,0.4767,29.7967,0.8833,28.04,0.3867,29.7333,0.4233
29.2567,0.38,29.52,0.35,27.98,0.2533,29.3767,0.3533,27.77,0.2767,28.51,0.4133,28.6833,0.36,28.7533,0.33,31.2133,0.47,30.1133,0.4367,28.1433,0.35,28.0633,0.34,31.11,0.9567,29.1033,0.35,31.0633,0.4433
30.3367,0.3667,30.6467,0.3533,28.8833,0.2267,30.5867,0.38,28.73,0.33,29.6233,0.37,29.74,0.3167,29.8333,0.3833,32.4933,0.48,31.4133,0.4633,29.1033,0.3567,29.1333,0.38,32.4333,0.9567,30.1933,0.3767,32.3367,0.36
31.5033,0.3867,31.8367,0.3033,29.8233,0.22,31.7067,0.3567,29.6967,0.29,30.7533,0.3267,30.81,0.35,31.0333,0.36,33.7433,0.5,32.6333,0.43,30.1,0.3667,30.18,0.38,33.65,1.8833,31.4,0.39,33.6467,0.4567
32.6333,0.39,33.01,0.2967,30.7867,0.2367,32.8867,0.35,30.65,0.29,31.86,0.4067,31.88,0.3467,32.19,0.3533,34.95,0.4733,33.8867,0.45,31.1233,0.3767,31.27,0.3967,34.8833,0.6267,32.6167,0.4033,34.8267,0.3767
33.73,0.3233,34.1633,0.35,31.7167,0.2433,34.1033,0.42,31.5833,0.28,32.97,0.3333,32.9633,0.3667,33.3467,0.3867,36.25,0.4767,35.1233,0.4433,32.07,0.3633,32.3467,0.4167,36.02,0.5267,33.8233,0.3867,36.03,0.3167
34.8633,0.39,35.3633,0.36,32.68,0.2467,35.32,0.3667,32.5533,0.3333,34.0967,0.33,34.0267,0.37,34.4233,0.3833,37.5067,0.4867,36.4467,0.4533,33.0433,0.3567,33.4067,0.3933,37.2967,0.5867,35.0833,0.42,37.32,0.41
35.8967,0.31,36.5233,0.3567,33.6567,0.2633,36.5167,0.3567,33.54,0.29,35.2467,0.3533,35.0567,0.3033,35.51,0.34,38.7833,0.4933,37.7567,0.4667,34.0033,0.3667,34.4667,0.3967,38.5167,0.54,36.3367,0.4033,38.61,0.4033
36.96,0.3033,37.6367,0.2967,34.6333,0.2367,37.6967,0.3467,34.5567,0.2767,36.4167,0.3933,36.0767,0.3367,36.6367,0.3433,40.0933,0.5333,39.01,0.4633,34.9733,0.3667,35.5733,0.3733,39.7633,0.5767,37.4733,0.3667,39.9033,0.3533
38.08,0.3867,38.79,0.3533,35.6333,0.2367,38.89,0.3633,35.5533,0.34,37.6033,0.39,37.14,0.3167,37.7433,0.3733,41.32,0.4667,40.3667,0.4667,35.9733,0.3767,36.63,0.4033,41.02,0.63,38.7133,0.4167,41.1967,0.4233
39.1933,0.3467,39.8967,0.28,36.5567,0.2533,40.0567,0.3533,36.49,0.2767,38.7633,0.3533,38.2567,0.3667,38.8967,0.4033,42.6133,0.48,41.59,0.43,36.9667,0.3767,37.6633,0.3367,42.18,0.4233,39.91,0.3867,42.3733,0.3167
40.3067,0.3367,41.0733,0.3,37.5633,0.24,41.24,0.3567,37.3967,0.27,39.8833,0.3,39.3567,0.4033,40.0767,0.3767,43.88,0.4967,42.8233,0.43,37.9333,0.3533,38.7467,0.3967,43.39,0.5333,41.0933,0.3733,43.7633,0.4433
41.46,0.38,42.27,0.3467,38.4867,0.24,42.3867,0.3433,38.38,0.2967,41.0167,0.3767,40.3767,0.3033,41.1767,0.3533,45.1567,0.48,44.0667,0.43,38.8733,0.3567,39.8267,0.4033,44.59,0.5367,42.2667,0.38,45.1067,0.4433
42.5,0.3533,43.36,0.2933,39.4467,0.26,43.55,0.36,39.35,0.3367,42.1833,0.37,41.44,0.3633,42.2533,0.3767,46.4233,0.5133,45.2867,0.44,39.8267,0.3567,40.9167,0.4,45.7433,0.5,43.4667,0.3767,46.44,0.43
43.5667,0.37,44.51,0.3167,40.5033,0.2533,44.7267,0.3667,40.31,0.28,43.35,0.3233,42.47,0.3367,43.41,0.35,47.6867,0.4767,46.5633,0.4533,40.75,0.3533,41.97,0.41,46.97,0.5067,44.64,0.38,47.8667,0.4167
44.6667,0.3367,45.6833,0.34,41.5767,0.2767,45.88,0.37,41.2633,0.2767,44.4967,0.3367,43.5,0.37,44.5,0.3267,48.8667,0.4467,47.8067,0.4333,41.69,0.35,43.01,0.3933,48.2367,0.55,45.8333,0.41,49.2767,0.4133
45.7567,0.3533,46.8633,0.3467,42.62,0.2967,47.1167,0.3367,42.2567,0.2833,45.6033,0.3633,44.6233,0.38,45.5667,0.3433,50.05,0.4233,49.06,0.45,42.6633,0.37,44.08,0.4,49.43,0.5133,46.9367,0.3567,50.4,0.2667
46.8433,0.3667,48.03,0.32,43.59,0.22,48.2967,0.33,43.2433,0.27,46.7033,0.3667,45.7533,0.3867,46.7167,0.3867,51.29,0.4967,50.2867,0.4533,43.6633,0.37,45.1567,0.3867,50.6733,0.5033,48.0667,0.3533,51.7433,0.3533
47.92,0.35,49.2767,0.3733,44.6567,0.3267,49.4633,0.32,44.14,0.3067,47.8567,0.3633,46.83,0.36,47.8633,0.37,52.5167,0.4833,51.5367,0.4433,44.6633,0.3667,46.2367,0.4,51.8767,0.4967,49.2367,0.3733,53.1267,0.4233
49.0333,0.37,50.4467,0.3567,45.6233,0.2367,50.6533,0.3667,45.0933,0.2933,48.97,0.3933,47.8367,0.3467,49.0367,0.3833,53.7367,0.4833,52.8,0.46,45.59,0.36,47.2967,0.3867,53.1267,0.5533,50.33,0.3633,54.51,0.4667
50.0567,0.33,51.63,0.3467,46.5967,0.2367,51.8367,0.35,46.0233,0.2933,50.1067,0.3967,48.9667,0.3467,50.18,0.3533,55.03,0.47,53.99,0.43,46.55,0.3567,48.3,0.38,54.21,0.43,51.56,0.3933,55.7833,0.38
51.18,0.3633,52.8233,0.3633,47.6133,0.2867,52.99,0.3633,46.9867,0.3033,51.24,0.3767,50.02,0.3167,51.3667,0.3733,56.26,0.49,55.2033,0.43,47.5167,0.37,49.38,0.4,55.39,0.4667,52.7967,0.3233,57.16,0.41
52.2667,0.3367,53.99,0.34,48.6033,0.2433,54.1167,0.3533,47.94,0.2933,52.3967,0.38,51.1167,0.35,52.5367,0.35,57.4967,0.49,56.4033,0.4467,48.52,0.36,50.3933,0.3933,56.5467,0.4367,53.95,0.3667,58.5467,0.4333
53.3967,0.36,55.1967,0.3833,49.5833,0.2367,55.2767,0.3633,48.91,0.3267,53.4967,0.3567,52.18,0.3633,53.68,0.3733,58.8133,0.52,57.6433,0.4467,49.52,0.3667,51.4667,0.4067,57.63,0.3433,55.1567,0.37,59.9433,0.4767
